strategy_id,account,firm,drawdown_type,risk_model,daily_rules,pass_probability,blowup_probability,timeout_probability,consistency_breach_rate,median_days_to_pass,median_end_balance,first_payout_probability,blowup_before_payout_probability,median_days_to_payout,prop_score,cert_ok,cert_fails,main_failure_reason
vwap_mean_reversion_M15_filters[0].max_z=2.5,generic_static_50k,Generic,static,micro_1,stop_w1,0.69,0.06,0.25,0.0,32.0,53094.02,0.91,0.08,10.0,1.103,False,median_days=32.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,pct_dd_buffer_2pct,stop_w1,0.67,0.05,0.28,0.0597,31.0,53085.73,0.96,0.03,11.0,1.103,False,median_days=31.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.5,generic_static_50k,Generic,static,pct_dd_buffer_2pct,stop_w1,0.68,0.06,0.26,0.0147,33.5,53092.54,0.91,0.07,9.0,1.09,False,median_days=33.5 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=3.0,generic_static_50k,Generic,static,micro_1,stop_w1,0.68,0.11,0.21,0.0,30.5,53084.8,0.95,0.02,13.0,1.078,False,median_days=30.5 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,dollar_risk_100,stop_w1,0.64,0.06,0.3,0.0469,32.0,53080.64,0.94,0.05,11.5,1.059,False,median_days=32.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.5,generic_static_50k,Generic,static,dollar_risk_100,stop_w1,0.66,0.09,0.25,0.0,32.5,53064.91,0.9,0.07,9.5,1.047,False,median_days=32.5 > 30,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_100,dp500_dl300,0.72,0.16,0.12,0.0556,24.5,53160.22,0.88,0.09,11.0,1.036,False,blowup_prob=16.00% > 15%,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_100,none,0.76,0.22,0.02,0.0263,17.5,53168.74,0.87,0.13,8.0,1.035,False,blowup_prob=22.00% > 15%,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,micro_1,none,0.75,0.24,0.01,0.0267,17.0,53155.51,0.86,0.14,8.0,1.006,False,blowup_prob=24.00% > 15%,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_50,none,0.75,0.24,0.01,0.0267,17.0,53129.83,0.85,0.15,8.0,1.001,False,blowup_prob=24.00% > 15%,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,pct_dd_buffer_2pct,none,0.75,0.24,0.01,0.0267,17.0,53181.73,0.85,0.15,8.0,1.001,False,blowup_prob=24.00% > 15%,trailing_dd_eod
vwap_mean_reversion_M15_filters[0].max_z=3.0,generic_static_50k,Generic,static,dollar_risk_100,stop_w1,0.65,0.16,0.19,0.0615,30.0,53058.83,0.91,0.04,13.0,0.981,False,blowup_prob=16.00% > 15%,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,micro_1,dp500_dl300,0.65,0.17,0.18,0.0462,26.0,53114.63,0.86,0.14,10.5,0.952,False,blowup_prob=17.00% > 15%,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,pct_dd_buffer_2pct,dp500_dl300,0.66,0.19,0.15,0.0606,25.0,53135.54,0.84,0.16,9.0,0.935,False,blowup_prob=19.00% > 15%,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,generic_static_50k,Generic,static,dollar_risk_50,dp500_dl300,0.64,0.18,0.18,0.0469,24.5,53094.88,0.83,0.16,9.0,0.92,False,blowup_prob=18.00% > 15%,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,ny_only_max2,0.49,0.0,0.51,0.1633,23.0,52697.68,0.9,0.0,11.0,0.916,False,consistency_breach=16.33% > 15%,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_50,ny_only_max2,0.49,0.0,0.51,0.1633,23.0,52688.19,0.9,0.0,11.0,0.916,False,consistency_breach=16.33% > 15%,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,ny_only_max2,0.49,0.0,0.51,0.1837,24.0,52647.86,0.9,0.0,10.0,0.913,False,consistency_breach=18.37% > 15%,none
exhaustion_reversal_M15_filters[0].min=0.6,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,ny_only_max2,0.48,0.0,0.52,0.2083,23.0,52397.82,0.91,0.0,10.0,0.905,False,consistency_breach=20.83% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,dollar_risk_50,max2,0.57,0.14,0.29,0.1754,32.0,53054.71,0.82,0.13,12.0,0.852,False,consistency_breach=17.54% > 15%; median_days=32.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,pct_dd_buffer_2pct,max2,0.56,0.14,0.3,0.1964,33.0,53045.46,0.83,0.12,13.0,0.844,False,consistency_breach=19.64% > 15%; median_days=33.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,micro_1,max2,0.57,0.17,0.26,0.1579,31.0,53037.94,0.83,0.11,13.0,0.839,False,blowup_prob=17.00% > 15%; consistency_breach=15.79% > 15%; median_days=31.0 > 30,max_loss_static
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_50,max2,0.65,0.34,0.01,0.0,28.0,53127.41,0.85,0.15,9.0,0.837,False,blowup_prob=34.00% > 15%,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,dollar_risk_100,max2,0.64,0.33,0.03,0.0,24.5,53143.64,0.85,0.15,9.0,0.834,False,blowup_prob=33.00% > 15%,trailing_dd_eod
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,micro_1,max2,0.64,0.33,0.03,0.0156,28.5,53128.2,0.85,0.15,9.0,0.831,False,blowup_prob=33.00% > 15%,trailing_dd_eod
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,max2,0.43,0.0,0.57,0.2791,27.0,51792.95,0.87,0.0,15.0,0.829,False,consistency_breach=27.91% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,stop_l2,0.46,0.0,0.54,0.5435,19.5,51613.3,0.87,0.0,13.0,0.82,False,consistency_breach=54.35% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,reduce_after_loss,stop_w1,0.59,0.27,0.14,0.1186,20.0,53104.51,0.88,0.12,11.0,0.82,False,blowup_prob=27.00% > 15%,daily_loss
exhaustion_reversal_M15_filters[0].min=0.6,topstep_50k,Topstep,eod_trailing,pct_dd_buffer_2pct,max2,0.63,0.34,0.03,0.0,23.0,53057.57,0.85,0.15,9.0,0.817,False,blowup_prob=34.00% > 15%,trailing_dd_eod
vwap_mean_reversion_M15_filters[0].max_z=2.0,generic_static_50k,Generic,static,dollar_risk_100,max2,0.56,0.2,0.24,0.125,34.0,53036.64,0.82,0.12,12.0,0.809,False,blowup_prob=20.00% > 15%; median_days=34.0 > 30,max_loss_static
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,stop_l2,0.45,0.0,0.55,0.5778,20.0,51403.0,0.87,0.0,13.0,0.807,False,consistency_breach=57.78% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,micro_1,none,0.5,0.11,0.39,0.4,23.5,52975.65,0.88,0.05,10.0,0.803,False,consistency_breach=40.00% > 15%,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,pct_dd_buffer_2pct,max2,0.41,0.0,0.59,0.3659,24.0,51925.8,0.87,0.0,15.0,0.8,False,consistency_breach=36.59% > 15%,none
vwap_mean_reversion_M15_filters[0].max_z=2.0,mffu_50k,MyFundedFutures,intraday_trailing,dollar_risk_100,none,0.5,0.12,0.38,0.38,24.5,52577.65,0.88,0.05,10.0,0.799,False,consistency_breach=38.00% > 15%,daily_loss
vwap_mean_reversion_M15_filters[0].max_z=2.0,topstep_50k,Topstep,eod_trailing,micro_1,stop_w1,0.57,0.3,0.13,0.0175,34.0,53024.57,0.88,0.12,12.0,0.797,False,blowup_prob=30.00% > 15%; median_days=34.0 > 30,daily_loss
